Date,Typedejour,Energie,Tmax
14/01/2015,4,43226.70315,22
15/01/2015,5,46405.19119,19
16/01/2015,6,45770.60039,24
17/01/2015,7,44507.69885,17
18/01/2015,1,41822.84631,14
19/01/2015,2,46851.71796,15
20/01/2015,3,47317.18192,18
21/01/2015,4,47621.18872,18
22/01/2015,5,48621.76877,17
23/01/2015,6,49400.17941,14
24/01/2015,7,47017.91442,14
25/01/2015,1,43511.60177,12
26/01/2015,2,49809.82961,11
27/01/2015,3,50265.26334,14
28/01/2015,4,50724.24523,13
29/01/2015,5,49575.09043,14
30/01/2015,6,49579.54667,19
31/01/2015,7,42872.85681,22
01/02/2015,1,43925.7245899999,13
02/02/2015,2,40508.13956,12
03/02/2015,3,40122.27733,18
04/02/2015,4,46305.66714,19
05/02/2015,5,47524.46013,14
06/02/2015,6,48007.80567,13
07/02/2015,7,48016.99859,13
08/02/2015,1,48278.66787,13
09/02/2015,2,44402.98858,11
10/02/2015,3,40470.97475,15
11/02/2015,4,46056.37881,18
12/02/2015,5,47213.38342,17
13/02/2015,6,43226.70315,16
14/02/2015,7,46405.19119,16
15/02/2015,1,45770.60039,18
16/02/2015,2,44507.69885,14
17/02/2015,3,41822.84631,16
18/02/2015,4,46851.71796,16
19/02/2015,5,47317.18192,16
20/02/2015,6,47621.18872,16
21/02/2015,7,48621.76877,16
22/02/2015,1,49400.17941,14
23/02/2015,2,47017.91442,15
24/02/2015,3,43511.60177,14
25/02/2015,4,49809.82961,11
26/02/2015,5,50265.26334,15
27/02/2015,6,50724.24523,15
28/02/2015,7,49575.09043,14
01/03/2015,1,49579.54667,15
02/03/2015,2,45104.49436,21
03/03/2015,3,43340.05148,23
04/03/2015,4,49388.16846,26
05/03/2015,5,49096.39546,16
06/03/2015,6,47656.23671,13
07/03/2015,7,48237.72075,11
08/03/2015,1,48524.2754,12
09/03/2015,2,46280.75203,11
10/03/2015,3,43115.44406,15
11/03/2015,4,49109.78988,17
12/03/2015,5,48544.95026,18
13/03/2015,6,48544.95026,16
14/03/2015,7,48803.14479,19
15/03/2015,1,49588.15729,16
16/03/2015,2,45658.02273,17
17/03/2015,3,42059.71269,17
18/03/2015,4,47625.29499,19
19/03/2015,5,47956.14935,17
20/03/2015,6,47869.68712,18
21/03/2015,7,48388.93949,15
22/03/2015,1,47697.30172,22
23/03/2015,2,44281.65682,21
24/03/2015,3,40828.03399,18
25/03/2015,4,45403.3508,22
26/03/2015,5,47609.60818,15
27/03/2015,6,48794.74592,17
